Ticket_ID,Title,Type,Epic_ID,Priority,Status,Assigned_Agent,Sprint,Dependencies,Notes
EPIC-001,Authentication Identity RBAC,Epic,EPIC-001,P0,Done,developer,1,,"Role catalogue permission model per-request auth resolution"
EPIC-002,Multi-tenancy Base Repository,Epic,EPIC-002,P0,Done,developer,1,EPIC-001,"Institute isolation at repo layer — existing super-admin separation covers this for POC"
EPIC-003,Platform Administration,Epic,EPIC-003,P0,Done,developer,1,"EPIC-001,EPIC-002","Super-admin portal with institutes + audit-logs already exists"
EPIC-004,Programme Cycle Setup,Epic,EPIC-004,P0,Done,developer,1,EPIC-002,"Programmes + academic-years exist; admission-cycles page missing"
EPIC-005,Candidate Management,Epic,EPIC-005,P0,Done,developer,1,"EPIC-002,EPIC-101","candidate-list + candidate-profile implemented"
EPIC-006,Audit Log,Epic,EPIC-006,P0,Done,developer,1,"EPIC-001,EPIC-002","audit-logs page exists in super-admin portal"
EPIC-007,Condition Engine,Epic,EPIC-007,P0,Done,developer,1,"EPIC-002,EPIC-005","condition-builder UI completely missing — needs visual rule builder"
EPIC-101,Data Import Service,Epic,EPIC-101,P1,Done,developer,2,"EPIC-002,EPIC-005,EPIC-007","import-candidates + import-wizard fully implemented"
EPIC-102,Workflow Model Executor,Epic,EPIC-102,P1,Done,developer,2,"EPIC-004,EPIC-005,EPIC-006,EPIC-007","workflow-builder exists; workflow-instances (candidate states) missing"
EPIC-103,Workflow Builder Runtime,Epic,EPIC-103,P1,Done,developer,2,EPIC-102,"Builder UI done; sample-data testing panel missing"
EPIC-104,Shortlist,Epic,EPIC-104,P1,Done,developer,2,"EPIC-005,EPIC-007,EPIC-102,EPIC-105","shortlist + shortlist-approvals implemented"
EPIC-105,Approval Generic Gate,Epic,EPIC-105,P1,Done,developer,2,"EPIC-001,EPIC-006,EPIC-102","pending-approvals + shortlist-approvals implemented"
EPIC-201,Document Collection,Epic,EPIC-201,P2,Done,developer,3,"EPIC-001,EPIC-002,EPIC-005","No doc-type config or submission tracking UI — needs new page"
EPIC-202,Verification Documents,Epic,EPIC-202,P2,Done,developer,3,"EPIC-201,EPIC-102,EPIC-007","verification page implemented"
EPIC-203,Assessment Definition Rubric,Epic,EPIC-203,P2,Done,developer,3,"EPIC-004,EPIC-105","assessment-config + assessment-parameter implemented"
EPIC-204,Panelist Management,Epic,EPIC-204,P2,Done,developer,3,"EPIC-001,EPIC-105","panelists + panelist-detail + panelist-allocation implemented"
EPIC-205,Scheduling Allocation,Epic,EPIC-205,P2,Done,developer,3,"EPIC-203,EPIC-204,EPIC-102,EPIC-007","sessions + candidate-allocation implemented"
EPIC-206,Score Capture,Epic,EPIC-206,P2,Done,developer,3,"EPIC-203,EPIC-205,EPIC-207,EPIC-208","pi-scoring implemented"
EPIC-207,Attendance,Epic,EPIC-207,P2,Done,developer,3,"EPIC-205,EPIC-102","pi-attendance implemented"
EPIC-208,Reopen Correction,Epic,EPIC-208,P2,Done,developer,3,"EPIC-006,EPIC-007","No reopen/correction UI at all — needs new page"
EPIC-209,Scoring Formulas,Epic,EPIC-209,P2,Done,developer,3,"EPIC-203,EPIC-206,EPIC-007,EPIC-208","final-scores exists; formula-builder UI missing"
EPIC-301,Merit List,Epic,EPIC-301,P3,Done,developer,4,"EPIC-209,EPIC-105,EPIC-302,EPIC-007","merit-processing + merit-approval + merit-releases + waiting-list implemented"
EPIC-302,Seat Allocation,Epic,EPIC-302,P3,Done,developer,4,"EPIC-004,EPIC-007,EPIC-006","No seat-allocation page — sanctioned seats and conversion missing"
